Ticker,Date,open,high,low,close,Volume,Time
S50_Tradingview,2021-12-29,977.5,977.5,974.2,976.3,2999,09:45:00
S50_Tradingview,2021-12-29,976.4,976.6,975.8,976.1,1080,09:46:00
S50_Tradingview,2021-12-29,976.1,976.1,975.4,976,1138,09:47:00
S50_Tradingview,2021-12-29,976.1,976.3,976,976.2,266,09:48:00
S50_Tradingview,2021-12-29,976.1,976.5,976.1,976.4,350,09:49:00
S50_Tradingview,2021-12-29,976.4,976.9,976.4,976.6,515,09:50:00
S50_Tradingview,2021-12-29,976.7,976.8,976.6,976.7,195,09:51:00
S50_Tradingview,2021-12-29,976.7,976.7,976.1,976.3,197,09:52:00
S50_Tradingview,2021-12-29,976.3,976.3,976.1,976.1,38,09:53:00
S50_Tradingview,2021-12-29,976.1,976.2,975.4,975.5,423,09:54:00
S50_Tradingview,2021-12-29,975.5,975.5,975.1,975.2,239,09:55:00
S50_Tradingview,2021-12-29,975.2,975.5,975.1,975.5,209,09:56:00
S50_Tradingview,2021-12-29,975.4,975.8,975.4,975.6,232,09:57:00
S50_Tradingview,2021-12-29,975.6,975.6,975.3,975.4,174,09:58:00
S50_Tradingview,2021-12-29,975.4,975.5,975.3,975.5,137,09:59:00
S50_Tradingview,2021-12-29,975.5,978,974.9,975.6,4468,10:00:00
S50_Tradingview,2021-12-29,975.6,976.7,975.1,976.3,999,10:01:00
S50_Tradingview,2021-12-29,976.3,977.6,975.7,976.9,2029,10:02:00
S50_Tradingview,2021-12-29,977,977,976.4,976.4,837,10:03:00
S50_Tradingview,2021-12-29,976.4,976.7,975.8,976.5,1248,10:04:00
S50_Tradingview,2021-12-29,976.7,976.8,976,976.2,501,10:05:00
S50_Tradingview,2021-12-29,976.3,976.7,975.8,976.7,810,10:06:00
S50_Tradingview,2021-12-29,976.6,976.6,975.7,975.8,476,10:07:00
S50_Tradingview,2021-12-29,975.7,976.1,975.4,976,365,10:08:00
S50_Tradingview,2021-12-29,976,976.8,976,976.6,732,10:09:00
S50_Tradingview,2021-12-29,976.5,976.7,976.4,976.6,260,10:10:00
S50_Tradingview,2021-12-29,976.5,976.7,976.4,976.6,162,10:11:00
S50_Tradingview,2021-12-29,976.6,976.6,976.4,976.4,185,10:12:00
S50_Tradingview,2021-12-29,976.4,976.5,975.9,976,253,10:13:00
S50_Tradingview,2021-12-29,975.9,976.1,975.8,976,90,10:14:00
S50_Tradingview,2021-12-29,976.1,976.3,975.9,976,484,10:15:00
S50_Tradingview,2021-12-29,975.9,976,975.8,975.9,73,10:16:00
S50_Tradingview,2021-12-29,975.9,976.1,975.8,975.9,237,10:17:00
S50_Tradingview,2021-12-29,975.9,976,975.8,975.9,55,10:18:00
S50_Tradingview,2021-12-29,976,976.4,975.6,976.3,467,10:19:00
S50_Tradingview,2021-12-29,976.3,976.4,976.1,976.1,134,10:20:00
S50_Tradingview,2021-12-29,976.1,976.3,976,976.1,164,10:21:00
S50_Tradingview,2021-12-29,976.1,976.2,975.6,975.6,210,10:22:00
S50_Tradingview,2021-12-29,975.6,975.9,975.5,975.8,328,10:23:00
S50_Tradingview,2021-12-29,975.8,976,975.7,975.9,168,10:24:00
S50_Tradingview,2021-12-29,975.9,976.1,975.6,976.1,241,10:25:00
S50_Tradingview,2021-12-29,976.1,976.5,975.8,976.2,353,10:26:00
S50_Tradingview,2021-12-29,976,976.1,975.7,975.8,173,10:27:00
S50_Tradingview,2021-12-29,975.8,975.9,975.4,975.6,396,10:28:00
S50_Tradingview,2021-12-29,975.5,975.9,975.3,975.9,292,10:29:00
S50_Tradingview,2021-12-29,975.9,976.1,975.7,975.9,254,10:30:00
S50_Tradingview,2021-12-29,976,976,975.7,975.9,142,10:31:00
S50_Tradingview,2021-12-29,975.9,976.4,975.8,975.9,636,10:32:00
S50_Tradingview,2021-12-29,975.8,976,975.8,976,123,10:33:00
S50_Tradingview,2021-12-29,976,976.2,976,976.2,91,10:34:00
S50_Tradingview,2021-12-29,976.2,976.4,976,976.3,268,10:35:00
S50_Tradingview,2021-12-29,976.2,976.3,976,976.1,82,10:36:00
S50_Tradingview,2021-12-29,976.2,976.2,975.7,975.8,271,10:37:00
S50_Tradingview,2021-12-29,976,976.1,975.9,976.1,89,10:38:00
S50_Tradingview,2021-12-29,976.2,976.2,976,976,133,10:39:00
S50_Tradingview,2021-12-29,976,976.1,975.8,976.1,116,10:40:00
S50_Tradingview,2021-12-29,976,976.4,976,976.3,175,10:41:00
S50_Tradingview,2021-12-29,976.2,976.5,976.2,976.4,129,10:42:00
S50_Tradingview,2021-12-29,976.5,976.5,976.3,976.4,171,10:43:00
S50_Tradingview,2021-12-29,976.4,976.5,976.3,976.5,88,10:44:00
S50_Tradingview,2021-12-29,976.5,976.7,976.4,976.7,255,10:45:00
S50_Tradingview,2021-12-29,976.7,976.7,976.5,976.6,516,10:46:00
S50_Tradingview,2021-12-29,976.5,976.9,976.5,976.7,321,10:47:00
S50_Tradingview,2021-12-29,976.7,976.8,976.7,976.7,64,10:48:00
S50_Tradingview,2021-12-29,976.7,976.8,976.6,976.7,131,10:49:00
S50_Tradingview,2021-12-29,976.7,977.2,976.6,977.2,637,10:50:00
S50_Tradingview,2021-12-29,977.2,977.3,976.9,977,330,10:51:00
S50_Tradingview,2021-12-29,977,977,976.7,977,352,10:52:00
S50_Tradingview,2021-12-29,977,977,976.8,976.8,107,10:53:00
S50_Tradingview,2021-12-29,976.7,977,976.7,977,173,10:54:00
S50_Tradingview,2021-12-29,976.9,977.1,976.7,977,269,10:55:00
S50_Tradingview,2021-12-29,977.1,977.1,976.9,977,180,10:56:00
S50_Tradingview,2021-12-29,976.9,977.2,976.9,977.1,304,10:57:00
S50_Tradingview,2021-12-29,977,977.1,977,977,82,10:58:00
S50_Tradingview,2021-12-29,977.1,977.2,977.1,977.2,98,10:59:00
S50_Tradingview,2021-12-29,977.2,977.2,976.9,977.1,279,11:00:00
S50_Tradingview,2021-12-29,977,977.2,977,977,158,11:01:00
S50_Tradingview,2021-12-29,977,977.1,976.9,977.1,96,11:02:00
S50_Tradingview,2021-12-29,977,977.1,976.9,977,122,11:03:00
S50_Tradingview,2021-12-29,976.9,977.1,976.7,976.7,716,11:04:00
S50_Tradingview,2021-12-29,976.7,977.3,976.6,977.3,637,11:05:00
S50_Tradingview,2021-12-29,977.3,977.3,977,977.1,255,11:06:00
S50_Tradingview,2021-12-29,977.1,977.2,977,977.1,119,11:07:00
S50_Tradingview,2021-12-29,977.1,977.2,976.8,977,152,11:08:00
S50_Tradingview,2021-12-29,977,977.1,976.9,977,81,11:09:00
S50_Tradingview,2021-12-29,977,977.3,976.9,977.3,195,11:10:00
S50_Tradingview,2021-12-29,977.3,977.4,977.2,977.4,188,11:11:00
S50_Tradingview,2021-12-29,977.4,977.8,977.1,977.3,951,11:12:00
S50_Tradingview,2021-12-29,977.3,977.3,977.2,977.3,138,11:13:00
S50_Tradingview,2021-12-29,977.3,977.3,976.8,977,407,11:14:00
S50_Tradingview,2021-12-29,977,977.1,976.8,977.1,229,11:15:00
S50_Tradingview,2021-12-29,977,977.1,977,977.1,101,11:16:00
S50_Tradingview,2021-12-29,977.1,977.2,977,977.2,163,11:17:00
S50_Tradingview,2021-12-29,977.2,977.2,977.1,977.2,70,11:18:00
S50_Tradingview,2021-12-29,977.2,977.2,977,977,72,11:19:00
S50_Tradingview,2021-12-29,977.1,977.2,977,977.2,81,11:20:00
S50_Tradingview,2021-12-29,977.2,977.3,977.2,977.3,99,11:21:00
S50_Tradingview,2021-12-29,977.2,977.4,977.2,977.3,276,11:22:00
S50_Tradingview,2021-12-29,977.3,977.4,977.2,977.4,93,11:23:00
S50_Tradingview,2021-12-29,977.4,977.4,977.2,977.3,181,11:24:00
S50_Tradingview,2021-12-29,977.3,977.4,977.2,977.3,117,11:25:00
S50_Tradingview,2021-12-29,977.4,977.4,977.2,977.3,91,11:26:00
S50_Tradingview,2021-12-29,977.4,977.4,976.9,976.9,300,11:27:00
S50_Tradingview,2021-12-29,976.9,977,976.9,976.9,83,11:28:00
S50_Tradingview,2021-12-29,977,977,976.9,977,76,11:29:00
S50_Tradingview,2021-12-29,977.1,977.3,977.1,977.3,322,11:30:00
S50_Tradingview,2021-12-29,977.3,977.5,977.2,977.3,333,11:31:00
S50_Tradingview,2021-12-29,977.4,977.4,977.3,977.3,3,11:32:00
S50_Tradingview,2021-12-29,977.3,978.5,977.3,977.8,1666,11:33:00
S50_Tradingview,2021-12-29,977.7,977.8,977.5,977.7,125,11:34:00
S50_Tradingview,2021-12-29,977.6,977.9,977.6,977.8,130,11:35:00
S50_Tradingview,2021-12-29,977.7,977.8,977.6,977.7,104,11:36:00
S50_Tradingview,2021-12-29,977.7,977.9,977.7,977.8,146,11:37:00
S50_Tradingview,2021-12-29,977.8,977.8,977.7,977.7,72,11:38:00
S50_Tradingview,2021-12-29,977.8,977.9,977.7,977.9,75,11:39:00
S50_Tradingview,2021-12-29,977.9,978,977.7,977.9,238,11:40:00
S50_Tradingview,2021-12-29,977.9,978.3,977.9,978.3,236,11:41:00
S50_Tradingview,2021-12-29,978.3,978.7,978.3,978.4,676,11:42:00
S50_Tradingview,2021-12-29,978.4,979.5,978.4,979.2,1980,11:43:00
S50_Tradingview,2021-12-29,979,979.4,979,979,925,11:44:00
S50_Tradingview,2021-12-29,979.1,979.3,979,979.2,597,11:45:00
S50_Tradingview,2021-12-29,979.2,979.2,979,979,149,11:46:00
S50_Tradingview,2021-12-29,979,979.2,979,979.2,365,11:47:00
S50_Tradingview,2021-12-29,979.2,979.8,979.2,979.5,1343,11:48:00
S50_Tradingview,2021-12-29,979.5,980,979.5,980,804,11:49:00
S50_Tradingview,2021-12-29,980,980.3,979.9,980.1,1986,11:50:00
S50_Tradingview,2021-12-29,980.2,980.6,980.1,980.1,1221,11:51:00
S50_Tradingview,2021-12-29,980.2,980.3,979.6,979.7,781,11:52:00
S50_Tradingview,2021-12-29,979.7,979.9,979.5,979.8,497,11:53:00
S50_Tradingview,2021-12-29,979.7,979.9,979.6,979.8,396,11:54:00
S50_Tradingview,2021-12-29,979.9,980.3,979.6,979.7,799,11:55:00
S50_Tradingview,2021-12-29,979.6,979.8,979.6,979.7,631,11:56:00
S50_Tradingview,2021-12-29,979.8,979.8,979.3,979.4,280,11:57:00
S50_Tradingview,2021-12-29,979.4,979.6,979.3,979.4,142,11:58:00
S50_Tradingview,2021-12-29,979.4,979.5,979.3,979.3,205,11:59:00
S50_Tradingview,2021-12-29,979.4,979.5,979.1,979.2,495,12:00:00
S50_Tradingview,2021-12-29,979.2,979.5,979.1,979.4,237,12:01:00
S50_Tradingview,2021-12-29,979.4,979.5,979.3,979.4,192,12:02:00
S50_Tradingview,2021-12-29,979.5,979.7,979.4,979.4,761,12:03:00
S50_Tradingview,2021-12-29,979.5,979.8,979.4,979.8,162,12:04:00
S50_Tradingview,2021-12-29,979.8,980,979.7,979.9,649,12:05:00
S50_Tradingview,2021-12-29,980,980,979.9,979.9,141,12:06:00
S50_Tradingview,2021-12-29,980,980.1,979.6,979.6,287,12:07:00
S50_Tradingview,2021-12-29,979.5,979.9,979.4,979.6,482,12:08:00
S50_Tradingview,2021-12-29,979.6,979.6,979.3,979.5,131,12:09:00
S50_Tradingview,2021-12-29,979.5,979.7,979.5,979.6,89,12:10:00
S50_Tradingview,2021-12-29,979.5,979.9,979.5,979.7,326,12:11:00
S50_Tradingview,2021-12-29,979.8,979.8,979.3,979.6,412,12:12:00
S50_Tradingview,2021-12-29,979.5,979.5,979.4,979.5,54,12:13:00
S50_Tradingview,2021-12-29,979.5,979.6,979.4,979.5,154,12:14:00
S50_Tradingview,2021-12-29,979.5,979.7,979.4,979.5,123,12:15:00
S50_Tradingview,2021-12-29,979.5,979.5,979.3,979.4,126,12:16:00
S50_Tradingview,2021-12-29,979.4,979.6,979.3,979.6,123,12:17:00
S50_Tradingview,2021-12-29,979.7,980,979.6,980,520,12:18:00
S50_Tradingview,2021-12-29,979.9,980,979.8,979.8,164,12:19:00
S50_Tradingview,2021-12-29,979.8,980.1,979.8,980.1,234,12:20:00
S50_Tradingview,2021-12-29,980,980.1,979.9,980.1,309,12:21:00
S50_Tradingview,2021-12-29,980.1,980.3,980,980,229,12:22:00
S50_Tradingview,2021-12-29,980,980.1,979.9,980,204,12:23:00
S50_Tradingview,2021-12-29,980,980.1,979.7,979.8,299,12:24:00
S50_Tradingview,2021-12-29,979.8,979.8,979.7,979.7,73,12:25:00
S50_Tradingview,2021-12-29,979.8,980,979.7,979.9,139,12:26:00
S50_Tradingview,2021-12-29,979.9,980,979.8,979.8,104,12:27:00
S50_Tradingview,2021-12-29,979.8,979.9,979.5,979.6,272,12:28:00
S50_Tradingview,2021-12-29,979.5,979.8,979.3,979.3,413,12:29:00
S50_Tradingview,2021-12-29,979.4,980,979.3,979.9,444,14:15:00
S50_Tradingview,2021-12-29,979.9,980,979.8,979.9,274,14:16:00
S50_Tradingview,2021-12-29,979.8,980,979.5,980,474,14:17:00
S50_Tradingview,2021-12-29,979.9,980,979.9,980,74,14:18:00
S50_Tradingview,2021-12-29,979.9,980.2,979.9,980,497,14:19:00
S50_Tradingview,2021-12-29,980,980,979.8,979.9,78,14:20:00
S50_Tradingview,2021-12-29,980,980,979.9,980,27,14:21:00
S50_Tradingview,2021-12-29,980,980,979.9,980,412,14:22:00
S50_Tradingview,2021-12-29,979.9,980,979.9,979.9,99,14:23:00
S50_Tradingview,2021-12-29,979.9,980.2,979.9,980.2,507,14:24:00
S50_Tradingview,2021-12-29,980.2,980.5,980.2,980.3,892,14:25:00
S50_Tradingview,2021-12-29,980.2,980.3,980.2,980.3,178,14:26:00
S50_Tradingview,2021-12-29,980.2,980.3,980,980.1,443,14:27:00
S50_Tradingview,2021-12-29,980,980.4,980,980.4,512,14:28:00
S50_Tradingview,2021-12-29,980.4,981.4,980.3,980.5,3283,14:29:00
S50_Tradingview,2021-12-29,980.5,980.9,980.4,980.8,672,14:30:00
S50_Tradingview,2021-12-29,980.9,980.9,980.5,980.5,326,14:31:00
S50_Tradingview,2021-12-29,980.5,980.9,980.5,980.9,210,14:32:00
S50_Tradingview,2021-12-29,980.7,981.2,980.7,981.2,434,14:33:00
S50_Tradingview,2021-12-29,981.1,981.3,980.9,981,571,14:34:00
S50_Tradingview,2021-12-29,981,981.3,981,981.3,336,14:35:00
S50_Tradingview,2021-12-29,981.3,981.7,981.3,981.5,1663,14:36:00
S50_Tradingview,2021-12-29,981.4,981.9,981.4,981.6,1050,14:37:00
S50_Tradingview,2021-12-29,981.5,981.6,981.3,981.3,316,14:38:00
S50_Tradingview,2021-12-29,981.3,981.4,980.5,980.5,658,14:39:00
S50_Tradingview,2021-12-29,980.5,980.7,980.3,980.6,398,14:40:00
S50_Tradingview,2021-12-29,980.7,980.7,980.4,980.4,749,14:41:00
S50_Tradingview,2021-12-29,980.4,980.6,980.3,980.4,332,14:42:00
S50_Tradingview,2021-12-29,980.4,980.4,980.2,980.3,387,14:43:00
S50_Tradingview,2021-12-29,980.4,980.4,980.2,980.3,348,14:44:00
S50_Tradingview,2021-12-29,980.4,980.5,980.2,980.3,170,14:45:00
S50_Tradingview,2021-12-29,980.2,980.5,980.2,980.3,317,14:46:00
S50_Tradingview,2021-12-29,980.4,980.4,980.2,980.2,272,14:47:00
S50_Tradingview,2021-12-29,980.3,980.3,980.1,980.3,181,14:48:00
S50_Tradingview,2021-12-29,980.3,980.3,980.1,980.1,158,14:49:00
S50_Tradingview,2021-12-29,980.2,980.4,980.1,980.2,189,14:50:00
S50_Tradingview,2021-12-29,980.3,980.4,980.2,980.4,303,14:51:00
S50_Tradingview,2021-12-29,980.4,980.5,980.3,980.4,164,14:52:00
S50_Tradingview,2021-12-29,980.4,980.5,980.2,980.4,546,14:53:00
S50_Tradingview,2021-12-29,980.3,981,980.3,980.4,1756,14:54:00
S50_Tradingview,2021-12-29,980.5,980.8,980.4,980.7,210,14:55:00
S50_Tradingview,2021-12-29,980.7,980.8,980.5,980.5,104,14:56:00
S50_Tradingview,2021-12-29,980.5,980.6,980.4,980.4,119,14:57:00
S50_Tradingview,2021-12-29,980.5,980.6,980.4,980.6,171,14:58:00
S50_Tradingview,2021-12-29,980.6,980.6,980.3,980.5,190,14:59:00
S50_Tradingview,2021-12-29,980.4,981.3,980.4,981,924,15:00:00
S50_Tradingview,2021-12-29,981.1,981.1,980.6,980.6,539,15:01:00
S50_Tradingview,2021-12-29,980.6,980.9,980.4,980.6,378,15:02:00
S50_Tradingview,2021-12-29,980.6,980.7,980.6,980.6,118,15:03:00
S50_Tradingview,2021-12-29,980.6,980.7,980.5,980.6,176,15:04:00
S50_Tradingview,2021-12-29,980.7,980.9,980.4,980.4,407,15:05:00
S50_Tradingview,2021-12-29,980.5,980.6,980.4,980.5,391,15:06:00
S50_Tradingview,2021-12-29,980.6,980.9,980.6,980.8,155,15:07:00
S50_Tradingview,2021-12-29,980.9,981.3,980.9,981.3,576,15:08:00
S50_Tradingview,2021-12-29,981.4,981.6,981.2,981.2,777,15:09:00
S50_Tradingview,2021-12-29,981.1,981.5,981.1,981.3,500,15:10:00
S50_Tradingview,2021-12-29,981.2,981.4,981.2,981.2,117,15:11:00
S50_Tradingview,2021-12-29,981.2,981.7,981.2,981.6,328,15:12:00
